P_NAME,Probability,ESI
Kepler-615 b,58.70745838476403,31.462419000000004
Kepler-1610 c,58.692973028343694,43.428839
HD 23472 b,58.687743385007366,32.631442
Kepler-398 d,58.67366962334413,32.549199
Kepler-1203 b,58.64461436873556,29.390476999999997
K2-381 b,58.60254292412429,33.017723
Kepler-1907 c,58.5970725275127,35.671163
Kepler-968 b,58.589569840918294,26.629495
Kepler-1669 c,58.572975166850355,26.401850999999997
Wolf 503 b,58.56398164250127,27.110936000000002
Kepler-1418 b,58.557802299892174,36.190761
Kepler-80 f,58.54938885713951,29.224232
Kepler-55 d,58.51384157111156,28.146362000000003
Kepler-1265 b,58.50851711944283,31.085675000000002
TOI-2134 c,58.500767039292356,42.21411
Kepler-398 b,58.45230078468701,30.99155
Kepler-399 d,58.41560854373519,46.099942
K2-102 b,58.400125490039976,32.897371
K2-162 b,58.3834830373513,32.026871
Kepler-928 b,58.37589836277627,28.885881
Kepler-202 c,58.371703265198846,33.30147
Kepler-220 c,58.33728783253364,31.247306000000002
Kepler-354 b,58.328155301146666,28.275144
K2-49 b,58.3069439609446,26.573009
K2-368 b,58.29416601084993,30.429411
K2-68 b,58.287048324703704,30.703174999999998
Kepler-1062 b,58.275830036370536,30.222623999999996
EPIC 212499991 b,58.246222903078746,43.027597
Kepler-1968 b,58.220090252692856,30.823588
EPIC 201754305 d,58.206590400710986,30.181698
Kepler-1499 b,58.19887975006663,46.344906
K2-35 c,58.19411288060876,27.896562000000003
Kepler-120 c,58.19112496527746,32.660787
Kepler-242 c,58.18702670328173,31.667595999999996
Kepler-1977 b,58.17439571064671,28.728207
Kepler-120 b,58.14969741861072,26.604279
K2-266 c,58.14297416013397,32.378328
Kepler-992 b,58.11234335040605,35.898981
Kepler-1938 b,58.085131036529425,31.436754999999998
TOI-500 c,58.04156453985883,27.567191
Kepler-1320 b,58.03784570658717,27.146130000000003
Kepler-866 b,58.019243980265436,28.048371
GJ 9827 c,58.00667151280534,31.050480000000004
TOI-824 b,57.97536787701287,21.546541
K2-414 c,57.966778426559905,27.865689999999997
Kepler-176 e,57.949088502623184,46.938016
HD 20794 e,57.94863140671629,59.005061000000005
Kepler-1324 b,57.92811951335387,29.246945000000004
TOI-1749 c,57.926764539478626,28.497638
Kepler-167 d,57.92358494206827,37.860821
K2-101 b,57.916103073586484,31.756185999999996
Kepler-378 c,57.910924439011026,43.551913
Kepler-114 c,57.90430582039238,30.175425999999998
Kepler-1899 b,57.88677393517863,29.001486999999997
EPIC 206317286 c,57.8830563466252,32.522901
Kepler-62 e,57.87230447101943,82.74275399999999
TOI-1064 b,57.86570377389722,24.692749
K2-120 b,57.80576359689718,29.029514
HD 215152 e,57.805163644217934,37.986674
Kepler-1953 b,57.80515287894404,30.908979
Kepler-1794 b,57.804008044618136,30.125562
Kepler-1040 b,57.757241109960454,64.719639
Kepler-935 b,57.7328655262127,30.180600000000002
Kepler-113 c,57.68735394759935,27.533636
Kepler-1688 b,57.67669316935866,30.810374000000003
Kepler-332 c,57.67140355220474,35.934156
Kepler-1197 b,57.648367883162024,29.373927
Kepler-1029 b,57.622767462806635,30.104732000000002
K2-47 b,57.530576309880544,37.74595
TOI-561 e,57.52898225603841,43.738613
Kepler-1315 c,57.51809361896367,28.555683
Kepler-304 e,57.51565818756309,29.344966
Kepler-1341 b,57.51297528435916,64.441043
HD 40307 b,57.503647803036735,27.566522
Kepler-1987 e,57.4946913116561,29.039161000000004
Kepler-1157 b,57.48931374399066,30.552888
GJ 9827 b,57.48202201086386,28.581574
Kepler-389 c,57.447892981639804,33.364301000000005
Kepler-808 b,57.442862224212675,28.154009000000002
Kepler-1363 b,57.39818150437839,29.632610999999997
Kepler-1254 b,57.38496156253755,31.149160999999996
Kepler-2001 c,57.384291170344206,31.729858
Kepler-1400 b,57.38161709905181,30.360559999999996
Kepler-1423 b,57.37824170649098,40.127545999999995
K2-110 b,57.34342730724705,27.372092999999996
Kepler-174 b,57.338229178304914,30.464796
Kepler-202 b,57.33529859141527,28.487864000000002
Kepler-185 c,57.318822288291905,33.09561
Kepler-1143 b,57.30255840736371,27.884699
Kepler-1039 b,57.298959792027155,28.273127999999996
Kepler-1608 b,57.296299213652155,32.502938
Kepler-332 b,57.294848564126895,31.674277
Kepler-1577 b,57.291011576083854,31.580398
Kepler-1987 c,57.27769391785182,29.630129999999998
Kepler-1032 b,57.277608188463915,26.903769999999998
Kepler-900 b,57.24231657106637,27.512339
K2-84 c,57.17767941307741,35.459030000000006
Kepler-1384 b,57.16657735083843,31.399112000000002
Kepler-1254 d,57.1469055911535,30.363689
Kepler-1702 b,57.136525610034376,34.08124
K2-413 b,57.12189692908063,28.765375999999996
Kepler-1964 b,57.092913318389094,27.154566000000003
Kepler-1200 b,57.08356332272324,29.503058999999997
Kepler-224 e,57.08170525211743,32.009119000000005
Kepler-1315 b,57.07780788389257,28.551067000000003
HIP 113103 b,57.06159295128451,28.668788
Kepler-124 d,57.03727512667997,40.218939
Kepler-261 c,57.0366756453106,34.405028
Kepler-1150 b,57.03254768384129,30.23579
EPIC 201497682 b,57.0078180554395,28.845969999999998
Kepler-1846 b,57.00421273238555,31.888133000000003
Kepler-1804 b,56.99254572971277,31.925672
Kepler-378 b,56.988541712314884,36.072087
Kepler-1008 b,56.977185311710116,32.720794
Kepler-1966 b,56.968321140414034,32.171506
Kepler-1850 b,56.96433913896637,28.807761
Kepler-1120 b,56.953162165840034,29.126117
Kepler-1254 c,56.94953706747084,29.616223
Kepler-399 c,56.94865747660756,36.415240999999995
EPIC 201841433 b,56.933372958407425,30.019225
TOI-500 b,56.92956671575497,29.181607
Kepler-1930 b,56.924746176462605,32.248576
Kepler-1206 b,56.922488258405934,27.472235
TOI-1075 b,56.922213547276066,26.758479
HD 39194 d,56.91695970229094,36.610416
Kepler-1162 c,56.916089019736916,45.695539000000004
Kepler-1834 b,56.90508972410044,29.347057999999997
Kepler-1480 b,56.89864841848722,35.48187
Kepler-1680 b,56.881221169247866,31.284007000000003
Kepler-1335 b,56.877646526669125,29.968599
HD 215152 d,56.87262187020189,31.467749
Kepler-1362 b,56.86893253726099,68.08287200000001
Kepler-309 b,56.86249758378334,29.39628
Kepler-842 b,56.84030916509314,27.665194
Kepler-549 b,56.81179132776894,34.874779000000004
TOI-431 c,56.809868374143356,29.297193999999998
Kepler-357 b,56.805815927313475,28.16806
HIP 116454 b,56.74175071234518,25.191577
HD 97658 b,56.73579550376897,27.277787999999997
Kepler-973 b,56.72149473641427,41.824445
Kepler-969 b,56.65852681793972,37.182482
Kepler-167 c,56.658319017335636,29.259681999999998
K2-184 b,56.65750103408598,37.224678
Kepler-1007 b,56.65282228786238,29.324395
Kepler-195 c,56.63722281162599,39.068475
K2-58 d,56.622031202552634,34.545535
K2-274 b,56.61529591438318,28.94244
Kepler-245 d,56.61298273649025,32.214929
K2-81 b,56.596320080297836,27.320963999999996
Kepler-169 d,56.59228611205721,31.288008
K2-180 b,56.589630321540824,24.867971999999998
K2-116 b,56.583103227280155,29.868752999999998
HD 215152 c,56.571791534430204,31.175709
Kepler-845 b,56.566168377246804,25.421472
Kepler-352 c,56.55470347207923,33.98446
Kepler-1610 b,56.54975413972472,29.863974999999996
TOI-238 c,56.54387083704073,26.595682999999998
K2-80 b,56.54197548498555,31.678897
tau Cet h,56.53411905169726,43.652644
Kepler-1565 b,56.527160517190964,29.322924
HD 215152 b,56.51614787129739,30.567123000000002
Kepler-389 b,56.50772329824367,28.604438
Kepler-48 d,56.50101800825429,37.884591
Kepler-1907 b,56.49769231484464,30.992488
Kepler-240 b,56.49017271642202,29.500273
K2-203 b,56.48720909637155,31.255975000000003
K2-270 b,56.48678995264212,28.700926
Kepler-155 c,56.477685494340854,72.876715
Kepler-1006 b,56.44111615974816,34.758513
Kepler-1266 c,56.43728916281801,28.292516
Kepler-386 c,56.426614182273035,35.387198
Kepler-167 b,56.39988138969799,27.955534999999998
Kepler-1302 b,56.39586785754939,30.72202
Kepler-169 c,56.38997373737385,30.646133
Kepler-1986 b,56.37982361141346,31.687209
Kepler-1848 b,56.36935816430231,29.702295
Kepler-1470 b,56.36783232851112,34.841668999999996
Kepler-20 d,56.35109786322812,41.281715000000005
Kepler-1228 b,56.350713564197,27.786520999999997
Kepler-1909 b,56.3484952469274,29.717579
Kepler-413 b,56.34724940634947,43.551451
Kepler-189 b,56.347053123304605,31.963816
Kepler-220 b,56.31020523240416,30.298029
Kepler-1825 b,56.30449559544735,28.389664999999997
Kepler-224 b,56.296646716669066,29.009133999999996
Kepler-124 c,56.295247488963,30.583655
Kepler-417 b,56.28783227593087,27.282258999999996
Kepler-716 c,56.28283508440073,29.278039
Kepler-768 b,56.26354769480649,29.789582999999997
Kepler-1291 b,56.248264689853535,29.541326
HD 207897 b,56.246709708277216,27.741168
Kepler-828 b,56.242717212421866,27.92
Kepler-1145 b,56.23590948791717,29.170256
K2-268 e,56.23105195199471,30.149749999999997
