pl_name,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_albedo,star_spect,st_teff,st_rad,st_mass,Probability,ESI
Kepler-322 b,1.653888,0.027,1.01,1.01,0.0,961194.7288,1313.463,88.21,0.3,G9,5388.0,0.89,0.92,54.21729808057676,29.488260999999998
TRAPPIST-1 c,2.421937,0.015800338,1.097,1.308,0.00654,3014.629992,310.82791,89.778,0.3,M7,2566.0,0.12,0.09,69.02669039091609,73.055616
HD 23472 e,7.90754,0.0681666,0.818,0.72,0.07,69917.79448,681.49406,88.63,0.25,K4,4684.0,0.71,0.67,53.8366823299955,31.620283999999998
Kepler-271 c,7.4108627,0.0702,0.95,0.809,0.0,154122.0136,831.15334,89.79,0.3,G6,5555.0,0.87,0.9,54.00622609832946,30.502679999999998
Kepler-282 b,9.220524,0.082,1.01,1.01,0.0,258173.2336,945.56804,89.85,0.3,G6,5602.0,0.9,0.79,53.79921670236611,30.029512000000004
Kepler-1417 b,20.350521,0.1431,1.0,0.972,0.0,164914.7968,845.33703,89.48,0.3,G2,5839.0,1.02,1.02,53.744274576507884,30.446041
Kepler-392 c,10.423118,0.093,1.1,1.37,0.0,246361.5928,934.56225,87.72,0.3,G1,5938.0,1.13,1.07,54.16958602141522,29.984717
GJ 273 c,4.7234,0.036993948,1.06,1.18,0.17,9122.352592,407.71731,nan,0.3,M3,3382.0,0.29,0.29,68.29061361171873,47.597106
Kepler-387 b,6.791636,0.068,1.03,1.08,0.0,403200.51920000004,1057.0493,89.55,0.3,G3,5774.0,1.05,0.82,53.87382533613471,29.756961999999998
Kepler-387 c,11.837549,0.098,0.89,0.64,0.0,194127.36560000002,880.51482,88.58,0.3,G3,5774.0,1.05,0.82,53.273645129635874,30.151842000000002
TRAPPIST-1 g,12.352446,0.046830101,1.129,1.321,0.00208,343.15594799999997,180.54585,89.742,0.3,M7,2566.0,0.12,0.09,68.91529334313925,57.566382000000004
Kepler-524 c,1.8889791,0.0303,0.96,0.84,0.0,4070555.208,1884.2061,89.84,0.3,G0,6014.0,1.1,1.09,53.572428887514405,29.321824000000003
